Cep,Logradouro,Numero,Bairro,Cod Cidade,Cod Estado
01001000,Praça da Sé,- lado ímpar,Sé,8966,26
1001001,Praça da Sé,- lado par,Sé,8966,26
1001010,Rua Filipe de Oliveira,,Sé,8966,26
1001900,Praça da Sé 108,,Sé,8966,26
1001901,Praça da Sé 371,,Sé,8966,26
1001902,Praça da Sé 385,,Sé,8966,26
1002000,Rua Direita,- lado par,Sé,8966,26
1002001,Rua Direita,- lado ímpar,Sé,8966,26
1002010,Praça do Patriarca,,Sé,8966,26
1002020,Viaduto do Chá,,Centro,8966,26
1002900,Viaduto do Chá 15,,Centro,8966,26
1002901,Rua Direita 32,,Sé,8966,26
1002902,Rua Direita 191,,Sé,8966,26
1002903,Rua Direita 250,,Sé,8966,26
1003000,Rua José Bonifácio,- lado par,Sé,8966,26
1003001,Rua José Bonifácio,- lado ímpar,Sé,8966,26
1003010,Praça Ouvidor Pacheco e Silva,,Sé,8966,26
1003900,Rua José Bonifácio 24,,Sé,8966,26
1003901,Rua José Bonifácio 93,,Sé,8966,26
1003902,Rua José Bonifácio 209,,Sé,8966,26
1003903,Rua José Bonifácio 250,,Sé,8966,26
1003904,Rua José Bonifácio 278,,Sé,8966,26
1003905,Rua José Bonifácio 367,,Sé,8966,26
1004000,Rua Barão de Paranapiacaba,,Sé,8966,26
1004010,Rua Quintino Bocaiúva,,Sé,8966,26
1004900,Rua Quintino Bocaiúva 71,,Sé,8966,26
1004901,Rua Quintino Bocaiúva 176,,Sé,8966,26
1004902,Rua Quintino Bocaiúva 191,,Sé,8966,26
1004903,Rua Quintino Bocaiúva 231,,Sé,8966,26
1004904,Rua Barão de Paranapiacaba 93,,Sé,8966,26
1005000,Rua Benjamim Constant,,Sé,8966,26
1005010,Largo São Francisco,,Sé,8966,26
1005020,Rua São Francisco,,Sé,8966,26
1005030,Rua do Ouvidor,,Sé,8966,26
1005900,Rua Benjamim Constant 153,,Sé,8966,26
1006000,Rua Senador Feijó,- lado par,Sé,8966,26
1006001,Rua Senador Feijó,- lado ímpar,Sé,8966,26
1006010,Rua Senador Paulo Egídio,,Sé,8966,26
1006020,Rua Cristóvão Colombo,,Sé,8966,26
1006030,Viaduto Brigadeiro Luiz Antônio,,Sé,8966,26
1006040,Praça Paulo Alfeu de Monteiro Duarte,,Sé,8966,26
1006900,Rua Senador Feijó 69,,Sé,8966,26
1006901,Rua Senador Feijó 143,,Sé,8966,26
1006903,Rua Senador Paulo Egídio 15,,Sé,8966,26
1006904,Rua Senador Paulo Egídio 72,,Sé,8966,26
1007000,Rua Riachuelo,,Sé,8966,26
1007020,Praça da Bandeira,,Centro,8966,26
1007030,Galeria Prestes Maia,,Centro,8966,26
1007040,Parque Anhangabaú,,Centro,8966,26
1007050,Passarela Carlos Drummond de Andrade,,Centro,8966,26
1007060,Viaduto Doutor Eusébio Stevaux,,Centro,8966,26
1007070,Largo Fernando Gallego,,Centro,8966,26
1007080,Passarela do Piques,,Centro,8966,26
1007900,Rua Doutor Faria Pereira 56,,Centro,8966,26
1007901,Rua Riachuelo 44,,Sé,8966,26
1007904,Rua Riachuelo 115,,Sé,8966,26
1007905,Rua Riachuelo 20,,Sé,8966,26
1007906,Rua Riachuelo 231,,Sé,8966,26
1008000,Rua Líbero Badaró,- lado par,Centro,8966,26
1008010,Rua Doutor Miguel Couto,,Centro,8966,26
1008900,Rua Doutor Miguel Couto 53,,Centro,8966,26
1008901,Rua Doutor Miguel Couto 58,,Centro,8966,26
1008902,Rua Líbero Badaró 92,,Centro,8966,26
1008903,Rua Líbero Badaró 152,,Centro,8966,26
1008904,Rua Líbero Badaró 158,,Centro,8966,26
1008905,Rua Líbero Badaró 346,,Centro,8966,26
1008906,Rua Líbero Badaró 504,,Centro,8966,26
1008908,Rua Líbero Badaró 600,,Centro,8966,26
1009000,Rua Líbero Badaró,- lado ímpar,Centro,8966,26
1009902,Rua Líbero Badaró 101,,Centro,8966,26
1009903,Rua Líbero Badaró 471,,Centro,8966,26
1009904,Rua Líbero Badaró 633,,Centro,8966,26
1009905,Rua Líbero Badaró 425,,Centro,8966,26
1009906,Rua Líbero Badaró 377,,Centro,8966,26
1009907,Rua Líbero Badaró 293,,Centro,8966,26
1009908,Rua Líbero Badaró 73 6º Andar,,Centro,8966,26
